Date,Open,High,Low,Close,Adj Close,Volume
2010-12-21,48.533497,48.818153,48.320007,48.505032,35.770329,3484231
2010-12-22,48.462334,48.960480,48.405403,48.917782,36.074726,3818531
2010-12-23,48.746990,49.102806,48.618896,48.974712,36.116703,3233962
2010-12-27,48.704292,48.889317,48.419636,48.860851,36.032730,2726890
2010-12-28,48.917782,49.102806,48.746990,48.932014,36.085201,3020580
2010-12-29,48.932014,49.088573,48.661594,48.718521,36.085201,2981023
2010-12-30,48.618896,48.903549,48.618896,48.746990,36.106293,2105715
2010-12-31,48.675823,48.746990,48.391171,48.590427,35.990326,2165226
2011-01-03,49.088573,50.312588,49.003178,49.785976,36.875854,5508935
2011-01-04,49.814442,49.942535,49.031643,49.444389,36.622856,6827659
2011-01-05,49.159737,49.771744,48.974712,49.358994,36.559605,5794896
2011-01-06,49.415928,50.469147,49.302063,50.298351,37.255356,5490105
2011-01-07,50.284119,50.526077,49.159737,49.714813,36.823151,4447997
2011-01-10,49.686348,50.696869,49.259365,50.526077,37.424042,5130299
2011-01-11,50.654171,51.095383,50.412216,50.511845,37.413502,5652126
2011-01-12,50.725334,51.138081,50.654171,51.024220,37.793007,5024487
2011-01-13,50.711102,51.152313,50.583008,50.739567,37.582184,3222861
2011-01-14,50.568775,51.166546,50.269890,51.138081,37.877346,2686490
2011-01-18,51.166546,51.479668,51.066917,51.223476,37.940590,4652175
2011-01-19,51.066917,51.095383,49.999466,50.056396,37.076168,8180670
2011-01-20,50.084862,50.255653,48.746990,48.803921,36.148457,7406607
2011-01-21,49.031643,49.686348,48.561962,49.088573,36.359303,6048326
2011-01-24,49.230900,50.127560,49.131271,49.800209,36.886398,3869751
2011-01-25,50.326817,50.355286,49.643650,50.212955,37.192127,5376282
2011-01-26,50.497612,50.511845,49.672115,50.255653,37.223747,6688332
2011-01-27,50.227188,51.123848,50.013699,50.625706,37.497837,6081911
2011-01-28,50.796497,51.351574,49.672115,49.899837,36.960194,5938579
2011-01-31,49.743279,50.810730,49.743279,50.497612,37.402969,4608192
2011-02-01,50.867661,52.219769,50.796497,51.750088,38.330654,7380189
2011-02-02,51.351574,52.347862,51.351574,52.148605,38.625824,5741217
2011-02-03,52.703678,53.372616,51.678925,52.290932,38.731239,6880143
2011-02-04,52.461723,52.817539,52.333630,52.675213,39.015888,5755199
2011-02-07,52.589817,53.970390,52.589817,53.543407,39.658939,4942492
2011-02-08,53.699966,54.354671,53.443779,53.998856,39.996284,5783935
2011-02-09,53.856525,54.126949,52.846004,53.315685,39.490273,5075847
2011-02-10,52.945637,54.653557,52.945637,54.269276,40.196587,4948956
2011-02-11,54.027321,55.023609,53.600338,54.625092,40.460129,4250986
2011-02-14,54.027321,54.909748,54.013088,54.781654,40.576099,3237475
2011-02-15,54.596626,54.753185,53.756897,54.027321,40.017368,4348438
2011-02-16,54.198112,54.653557,53.813828,54.511230,40.375801,3256797
2011-02-17,54.340439,55.251331,54.183880,55.165936,40.860725,3535872
2011-02-18,55.165936,55.507519,54.482765,54.852818,40.628807,4518539
2011-02-22,53.799599,54.297741,52.789074,52.888702,39.174004,5737142
2011-02-23,52.376328,52.945637,50.013699,51.266174,37.972218,9709474
2011-02-24,50.639938,51.479668,49.600952,50.511845,37.413502,8472884
2011-02-25,50.938824,51.821251,50.810730,51.693157,38.288486,5324219
2011-02-28,52.091675,52.917168,52.077438,52.888702,39.174004,6113247
2011-03-01,53.116428,53.429546,51.408504,51.436970,38.098740,6029567
2011-03-02,51.209248,52.333630,51.209248,52.120136,38.604740,4696299
2011-03-03,53.102196,54.084251,53.045265,53.927692,39.943581,8019351
2011-03-04,53.927692,54.084251,52.660980,53.401081,39.553528,6087391
2011-03-07,53.699966,54.255043,52.660980,53.031033,39.279434,4563576
2011-03-08,53.173359,54.767422,52.604050,54.511230,40.375801,6019238
2011-03-09,53.870762,53.970390,53.016796,53.956158,39.964657,6555679
2011-03-10,53.329918,53.415314,52.305164,52.404793,38.815578,5328646
2011-03-11,52.006275,52.760609,51.522366,52.362095,38.783947,4699461
2011-03-14,51.792786,52.803307,51.308872,52.105907,38.594208,5007343
2011-03-15,49.985233,51.493900,49.415928,51.180779,37.908974,6496379
2011-03-16,51.024220,51.323109,49.316296,50.042164,37.065609,7743789
2011-03-17,50.824963,51.807018,50.355286,50.824963,37.645412,5740233
2011-03-18,51.750088,51.892414,50.896126,51.024220,37.793007,5710021
2011-03-21,52.376328,53.016796,52.048977,52.618282,38.973713,6632053
2011-03-22,52.732143,52.888702,51.963577,52.276699,38.720715,3339142
2011-03-23,51.721622,52.604050,51.237713,52.234001,38.689083,4103860
2011-03-24,52.561352,52.774841,51.778553,52.319397,38.752338,4407668
2011-03-25,52.518654,53.372616,52.447491,52.874470,39.163460,4568213
2011-03-28,52.789074,53.699966,52.717911,52.717911,39.047512,5024627
2011-03-29,52.703678,53.230289,52.376328,53.002563,39.417976,4011046
2011-03-30,53.586105,54.041553,53.016796,53.045265,39.449726,5263725
2011-03-31,53.130661,53.870762,52.902939,53.728432,39.957802,4144471
2011-04-01,53.728432,54.440067,53.728432,53.956158,40.127171,4105757
2011-04-04,54.070019,54.610859,54.041553,54.297741,40.381195,3020720
2011-04-05,54.297741,55.308262,53.870762,55.023609,40.921013,4293283
2011-04-06,55.237099,55.507519,54.311974,54.781654,40.741077,3906217
2011-04-07,54.810120,55.151703,54.041553,54.553928,40.571732,3994886
2011-04-08,54.810120,55.436356,54.582394,54.824352,40.772842,4003387
2011-04-11,54.553928,54.852818,53.472244,53.742664,39.968388,3962847
2011-04-12,52.803307,53.514942,52.490189,52.604050,39.121593,4039712
2011-04-13,53.045265,53.087963,51.750088,52.234001,38.846397,3945492
2011-04-14,51.849716,52.888702,51.351574,52.561352,39.089840,4378720
2011-04-15,52.860237,54.027321,52.817539,53.771130,39.989552,5268713
2011-04-18,53.102196,53.144894,51.849716,52.675213,39.174522,4431205
2011-04-19,52.831772,53.671501,52.746376,53.657269,39.904884,3466384
2011-04-20,54.482765,54.895515,54.183880,54.411602,40.465881,6861384
2011-04-21,54.795883,56.219154,54.568161,56.190689,41.788986,7710696
2011-04-25,55.962967,56.361481,55.365192,56.005665,41.651375,4514886
2011-04-26,56.162224,57.357773,56.062595,56.888092,42.307636,7939465
2011-04-27,57.073116,57.144279,55.934502,56.816929,42.254719,5955793
2011-04-28,58.026707,58.923367,56.361481,57.941311,43.090927,9498551
2011-04-29,58.439457,58.510620,57.685123,58.339828,43.387302,6843959
2011-05-02,58.482155,60.104679,58.453690,58.837971,43.757763,9957635
2011-05-03,57.628193,58.809505,57.286606,57.656658,42.879227,7481505
2011-05-04,57.557030,57.998241,56.333015,56.418411,41.958336,6201565
2011-05-05,56.375713,57.300838,55.664082,55.834873,41.524364,5529521
2011-05-06,56.873859,57.286606,56.076828,56.532272,42.043011,6052612
2011-05-09,56.361481,57.058884,56.076828,56.717300,42.180622,3461115
2011-05-10,56.930790,58.425224,56.717300,57.984009,43.122673,5364970
2011-05-11,57.585495,57.670891,55.237099,55.507519,41.280903,7600948
2011-05-12,55.550217,55.777943,54.610859,55.407890,41.206818,5356680
2011-05-13,55.649845,56.005665,54.440067,54.610859,40.614063,4763679
2011-05-16,54.212345,55.308262,53.458012,53.671501,39.915462,5479847
2011-05-17,53.329918,53.429546,51.878181,51.992043,38.666454,9856951
2011-05-18,52.134373,52.803307,51.835484,52.618282,39.132187,8691466
2011-05-19,53.159126,53.728432,52.333630,52.447491,39.005169,6175920
2011-05-20,52.191303,52.404793,51.166546,51.251945,38.116043,6895460
2011-05-23,50.084862,50.881893,49.629417,50.682636,37.692650,6262130
2011-05-24,50.654171,51.493900,50.255653,50.483379,37.544449,5266184
2011-05-25,50.298351,51.992043,50.170258,51.508133,38.306553,6742643
2011-05-26,50.839195,51.351574,50.341049,50.810730,37.787907,6383611
2011-05-27,51.152313,51.465435,50.469147,50.668404,37.682068,5207305
2011-05-31,51.536598,51.949345,50.597240,51.422737,38.243061,6661773
2011-06-01,51.223476,51.408504,49.885605,49.956768,37.152817,5713745
2011-06-02,50.113327,50.924591,49.515556,50.896126,37.851421,7561743
2011-06-03,49.971001,50.469147,49.629417,50.099094,37.258663,8956489
2011-06-06,49.586720,50.298351,49.487087,49.899837,37.110481,8384286
2011-06-07,50.156025,50.554543,49.999466,50.070629,37.237495,6904664
2011-06-08,50.212955,50.212955,49.501324,49.629417,36.909370,8403537
2011-06-09,49.857140,50.440681,49.672115,50.056396,37.226929,5343611
2011-06-10,49.899837,50.369514,49.643650,49.914070,37.121063,7475533
2011-06-13,50.099094,50.241421,49.430157,49.757511,37.004642,5994085
2011-06-14,50.412216,50.924591,49.971001,50.639938,37.660889,6240279
2011-06-15,49.914070,50.013699,48.690060,49.273598,36.644745,10345544
2011-06-16,49.615185,50.198723,48.348473,49.003178,36.443626,9482812
2011-06-17,49.800209,50.042164,48.903549,49.230900,36.612999,7644932
2011-06-20,49.060108,49.942535,48.946247,49.757511,37.004642,4347805
2011-06-21,50.170258,51.508133,50.141792,51.351574,38.190136,4999052
2011-06-22,51.052685,51.807018,51.009987,51.209248,38.084286,6305481
2011-06-23,50.284119,50.782265,49.415928,50.696869,37.703239,7846369
2011-06-24,50.967289,51.095383,49.914070,50.141792,37.290424,5754215
2011-06-27,49.914070,50.298351,49.330528,49.971001,37.163399,5386892
2011-06-28,49.672115,50.469147,49.259365,50.469147,37.803047,5265622
2011-06-29,50.739567,51.223476,50.369514,50.938824,38.154858,4315204
2011-06-30,51.038452,51.365807,50.255653,51.237713,38.378735,6923284
2011-07-01,51.152313,51.849716,50.839195,51.693157,38.719875,5448862
2011-07-05,51.664692,51.977810,51.337341,51.664692,38.698563,3770965
2011-07-06,51.465435,52.091675,51.052685,51.892414,38.869118,4241571
2011-07-07,52.518654,53.087963,52.134373,52.902939,39.626030,4471745
2011-07-08,52.077438,52.134373,51.223476,51.778553,38.783840,5224027
2011-07-11,50.938824,50.953056,49.586720,49.928303,37.397934,6369278
2011-07-12,48.860851,49.188202,47.907261,48.462334,36.299885,14215577
2011-07-13,48.889317,49.102806,48.362705,48.746990,36.513100,9062372
2011-07-14,48.946247,49.615185,48.746990,49.173969,36.832924,6799835
2011-07-15,49.316296,49.871372,49.245132,49.743279,37.259350,6770396
2011-07-18,49.415928,49.828674,48.391171,48.775455,36.534424,5230210
2011-07-19,49.273598,49.629417,49.060108,49.472855,37.056797,5288737
2011-07-20,49.529785,50.212955,49.415928,49.985233,37.440582,3702812
2011-07-21,50.341049,51.195011,50.255653,50.881893,38.112213,4725246
2011-07-22,50.739567,51.024220,50.469147,50.639938,37.930973,2754573
2011-07-25,49.885605,51.636227,49.686348,51.223476,38.368073,6320868
2011-07-26,51.038452,51.536598,50.269890,51.024220,38.218811,8147085
2011-07-27,51.949345,52.518654,49.657883,49.800209,37.302002,11671856
2011-07-28,50.127560,51.693157,50.099094,50.341049,37.707104,9128417
2011-07-29,49.757511,50.739567,49.273598,49.629417,37.174065,8465858
2011-08-01,50.867661,51.508133,49.102806,50.013699,37.461918,7600878
2011-08-02,49.316296,50.298351,47.907261,47.921494,35.894772,7387145
2011-08-03,47.893028,48.191914,46.042774,48.063820,36.001389,8544269
2011-08-04,46.967903,46.967903,42.925816,43.139305,32.312756,15630839
2011-08-05,43.964802,44.192528,41.659107,43.011211,32.216812,12951305
2011-08-08,40.719749,41.701805,37.987068,38.527912,28.858673,17147628
2011-08-09,39.239548,41.858364,38.599075,41.787201,31.299988,13774901
2011-08-10,40.435093,41.872597,39.880016,40.022346,29.978058,12871980
2011-08-11,40.463558,42.698093,39.979649,41.872597,31.363951,13973739
2011-08-12,42.214180,42.911583,41.289055,41.886829,31.374611,8025464
2011-08-15,42.299576,42.811954,42.029156,42.811954,32.067554,5877171
2011-08-16,42.399204,42.769257,41.459846,41.730270,31.257345,7016801
2011-08-17,41.886829,42.755024,41.644875,42.057621,31.502535,6503616
2011-08-18,40.648582,40.776676,37.816277,38.271725,28.666782,13852047
2011-08-19,37.488926,38.940659,37.289665,37.375065,27.995155,9432435
2011-08-22,38.442516,38.456749,36.236446,36.421474,27.280886,11890719
2011-08-23,36.706127,37.531624,36.179516,37.531624,28.112421,9076846
2011-08-24,37.303902,38.257492,37.061943,38.186329,28.602818,8043591
2011-08-25,38.243259,38.570610,37.375065,37.574322,28.144403,7823043
2011-08-26,37.175804,38.470982,36.222214,38.172096,28.592154,8375152
2011-08-29,38.869495,40.349697,38.755634,40.292767,30.180614,7234609
2011-08-30,40.022346,40.563187,39.709225,40.221603,30.127314,7941713
2011-08-31,40.705517,41.545242,40.079277,40.492023,30.329855,7780886
2011-09-01,40.378162,40.833611,39.196850,39.282246,29.423695,7517619
2011-09-02,38.186329,38.627541,37.659718,38.015533,28.474888,5814709
2011-09-06,36.720360,37.318134,36.250683,37.204269,27.867212,7628420
2011-09-07,38.542145,38.684471,38.172096,38.527912,28.858673,6512680
2011-09-08,38.342888,38.513680,37.645485,38.285957,28.677444,9296340
2011-09-09,37.730881,37.787811,36.506870,36.677662,27.472771,7594976
2011-09-12,36.008724,36.933849,35.852165,36.663429,27.462112,6319041
2011-09-13,36.891151,37.745113,36.578033,37.446228,28.048456,5287684
2011-09-14,37.645485,38.940659,36.862686,38.300190,28.688099,7032398
2011-09-15,38.912193,39.495735,38.613308,39.495735,29.583601,6272388
2011-09-16,39.652294,40.563187,39.552666,40.278534,30.169947,9345101
2011-09-19,39.225315,39.666527,38.470982,39.453037,29.551624,6214985
2011-09-20,39.623829,39.979649,38.784100,38.812565,29.071888,6387686
2011-09-21,38.556377,39.068756,36.336079,36.350307,27.227571,8844002
2011-09-22,35.510578,35.624443,32.023567,32.763672,24.541069,19477896
2011-09-23,32.820599,34.158474,32.578644,33.489536,25.084764,9470236
2011-09-26,33.944984,34.884342,32.849068,34.884342,26.129520,10715959
2011-09-27,36.421474,37.716648,35.567513,36.421474,27.280886,11613680
2011-09-28,36.250683,36.350307,33.745728,33.816891,25.579866,8589658
2011-09-29,34.685085,35.197460,33.546467,33.788425,25.558325,12022457
2011-09-30,33.389908,33.489536,31.966639,31.966639,24.180290,13588429
2011-10-03,31.724684,32.550179,30.600300,30.614532,23.157532,10929411
2011-10-04,29.931362,32.507481,29.333590,32.450550,24.546331,13068500
2011-10-05,32.678272,35.140530,32.350922,34.870110,26.376541,15522637
2011-10-06,34.699314,36.065655,34.201172,36.037189,27.259350,10465971
2011-10-07,36.293381,36.649197,34.642387,35.240158,26.656458,9069328
2011-10-10,36.421474,37.574322,36.393005,37.275436,28.195995,6740325
2011-10-11,37.161572,38.428284,36.862686,37.574322,28.422077,7603689
2011-10-12,38.229027,39.438805,38.143627,38.841030,29.380239,9010801
2011-10-13,38.328655,38.328655,37.061943,37.958603,28.712749,7147205
2011-10-14,38.784100,39.467270,38.712936,39.396107,29.800108,6028021
2011-10-17,39.396107,39.396107,37.602787,37.759346,28.562021,10230527
2011-10-18,37.545856,39.851555,37.175804,39.524200,29.897001,12848654
2011-10-19,39.538433,39.538433,37.588554,37.844742,28.626631,7563781
2011-10-20,37.901672,38.285957,36.563801,37.617020,28.454369,9169660
2011-10-21,38.214794,39.068756,38.157864,38.769867,29.326406,8635046
2011-10-24,38.969128,39.894253,38.912193,39.709225,30.036963,7464713
2011-10-25,39.581131,39.709225,37.602787,37.702415,28.518959,11554942
2011-10-26,38.285957,38.883732,37.019245,38.271725,28.949606,11296453
2011-10-27,40.548954,42.071854,39.566898,41.417149,31.328867,12570632
2011-10-28,41.018635,41.701805,40.378162,41.630638,31.490364,7396560
2011-10-31,40.904774,40.990170,39.638062,39.680759,30.015425,8216152
2011-11-01,37.545856,39.339176,37.147339,38.912193,29.434067,12548710
2011-11-02,39.780388,40.506256,39.168385,39.851555,30.144625,7869063
2011-11-03,40.591652,40.890541,39.595364,40.733978,30.812105,6078047
2011-11-04,40.235836,40.506256,39.524200,40.107742,30.338408,7398597
2011-11-07,39.951183,40.378162,39.196850,40.150440,30.370716,5235480
2011-11-08,40.321232,40.876308,39.794621,40.662815,30.758274,6455839
2011-11-09,39.282246,39.766155,38.456749,38.684471,29.261808,8708188
2011-11-10,39.453037,39.709225,38.428284,39.011826,29.509426,7463167
2011-11-11,39.381874,40.335464,39.381874,40.121975,30.349171,4532451
2011-11-14,39.979649,40.264301,39.211082,39.652294,29.993900,4176369
2011-11-15,39.367641,39.652294,38.812565,39.396107,29.800108,5297590
2011-11-16,38.841030,39.282246,38.300190,38.371353,29.024960,6464200
2011-11-17,38.229027,38.513680,37.005013,37.275436,28.195995,11059042
2011-11-18,37.517391,37.745113,36.720360,36.933849,27.937605,8036706
2011-11-21,36.165283,36.236446,35.595978,35.951794,27.194759,8045348
2011-11-22,35.866398,36.136818,35.183228,35.795235,27.076323,5765316
2011-11-23,35.282856,35.624443,34.756248,35.012436,26.484201,7562446
2011-11-25,34.983971,35.581745,34.813179,34.827412,26.344248,2051052
2011-11-28,36.649197,36.876919,36.122585,36.506870,27.614622,5026524
2011-11-29,36.478405,37.118874,36.250683,36.649197,27.722275,4585498
2011-11-30,38.314423,39.481503,38.314423,39.438805,29.832417,7311825
2011-12-01,38.897961,39.538433,38.784100,39.239548,29.681692,5258525
2011-12-02,39.709225,40.022346,39.282246,39.495735,29.875462,5548913
2011-12-05,40.264301,40.563187,39.495735,39.837318,30.133858,4614515
2011-12-06,39.851555,40.449326,39.211082,39.922714,30.198452,5381201
2011-12-07,39.509968,39.808853,39.111454,39.581131,29.940062,6031464
2011-12-08,39.111454,39.282246,37.958603,38.100929,28.820402,5093202
2011-12-09,37.118874,38.769867,36.919617,38.570610,29.175676,5578282
2011-12-12,37.944370,38.043999,37.104641,37.488926,28.357468,4160280
2011-12-13,37.915905,38.172096,36.236446,36.649197,27.722275,5376001
2011-12-14,36.122585,36.919617,35.909096,36.122585,27.323944,6112404
2011-12-15,36.848454,36.933849,36.051422,36.720360,27.776112,5380568
2011-12-16,37.232738,37.631252,36.791523,37.517391,28.379017,11006276
2011-12-19,37.659718,37.688183,36.464172,36.634964,27.711515,6503194
2011-12-20,37.375065,38.485214,37.375065,38.371353,29.024960,8777886
2011-12-21,38.470982,38.897961,38.100929,38.826797,29.369467,6784448
2011-12-22,39.026058,39.993881,38.869495,39.936951,30.209217,6711518
2011-12-23,40.093510,41.118263,39.993881,41.047100,31.048950,5909070
2011-12-27,40.975937,41.431381,40.790913,41.047100,31.048950,4513832
2011-12-28,40.776676,40.847843,39.851555,40.093510,30.592838,5298574
2011-12-29,40.264301,40.933239,40.093510,40.890541,31.201006,4258574
2011-12-30,41.061333,41.075565,40.776676,40.933239,31.233578,3157659
2012-01-03,41.673340,42.655396,41.659107,42.399204,32.352161,7147064
2012-01-04,42.399204,42.683861,41.915295,42.626930,32.525925,5274334
2012-01-05,42.413441,43.068142,41.730270,42.897350,32.732269,5761663
